"Name","Major","GPA"
"Student 1","History",3.29
"Student 2","History",NA
"Student 3","History",3.12
"Student 4","Biology",2.74
"Student 5","History",2.93
"Student 6","Biology",3.21
"Student 7","Biology",3.26
"Student 8","Biology",3.12
"Student 9","History",3.43
"Student 10","Math",0.1
"Student 11","Engineering",2.8
"Student 12","Biology",2.29
"Student 13","Biology",3.45
"Student 14","Math",3.09
"Student 15","Biology",2.86
"Student 16","History",3.46
"Student 17","Engineering",NA
"Student 18","Math",2.93
"Student 19","History",3.25
"Student 20","History",3.17
"Student 21","Math",3.3
"Student 22","Engineering",3.15
"Student 23","Math",3.19
"Student 24","Math",3.49
"Student 25","Math",4.3
"Student 26","History",3.28
"Student 27","Engineering",3.44
"Student 28","Biology",3.25
"Student 29","History",3.12
"Student 30","Biology",3.5
"Student 31","Math",3.6
"Student 32","Biology",3.29
"Student 33","History",3.26
"Student 34","Engineering",2.75
"Student 35","Biology",3.58
"Student 36","Math",3.12
"Student 37","History",3.75
"Student 38","History",3.58
"Student 39","Math",3.23
"Student 40","Engineering",2.59
"Student 41","History",3.02
"Student 42","Engineering",3.1
"Student 43","Biology",3.01
"Student 44","Math",3.2
"Student 45","History",2.96
"Student 46","Math",3.29
"Student 47","Math",3.06
"Student 48","Biology",2.52
"Student 49","History",3.1
"Student 50","History",0.1
"Student 51","Engineering",2.77
"Student 52","Math",3.48
"Student 53","History",2.8
"Student 54","Math",3.28
"Student 55","History",3.33
"Student 56","Engineering",3.12
"Student 57","Biology",3.14
"Student 58","Math",3.11
"Student 59","Biology",2.8
"Student 60","Math",2.99
"Student 61","Math",3.34
"Student 62","Engineering",2.62
"Student 63","Engineering",2.8
"Student 64","History",3.14
"Student 65","Math",3.85
"Student 66","Biology",2.87
"Student 67","Math",3.37
"Student 68","Math",3.32
"Student 69","History",2.96
"Student 70","Math",3.28
"Student 71","Biology",3.61
"Student 72","Math",3.44
"Student 73","History",3.21
"Student 74","Math",3.17
"Student 75","History",4.3
"Student 76","Biology",3.5
"Student 77","Engineering",2.42
"Student 78","History",3.38
"Student 79","Engineering",3.76
"Student 80","Engineering",2.42
"Student 81","Biology",3.35
"Student 82","Biology",NA
"Student 83","History",2.81
"Student 84","Engineering",2.39
"Student 85","Biology",2.54
"Student 86","Biology",2.91
"Student 87","History",2.83
"Student 88","History",3.37
"Student 89","Engineering",3.84
"Student 90","Math",2.91
"Student 91","Biology",3.38
"Student 92","Biology",3.37
"Student 93","Math",NA
"Student 94","Biology",2.75
"Student 95","Engineering",2.95
"Student 96","Math",3.22
"Student 97","Math",NA
"Student 98","Biology",2.97
"Student 99","History",3.44
"Student 100","History",3.11
"Student 101","Math",3.62
"Student 102","Engineering",2.58
"Student 103","Biology",2.66
"Student 104","Math",4
"Student 105","Engineering",2.83
"Student 106","Biology",3.2
"Student 107","Math",3.49
"Student 108","History",3.08
"Student 109","History",3.33
"Student 110","Engineering",3.15
"Student 111","Engineering",2.91
"Student 112","Biology",3.12
"Student 113","Engineering",2.99
"Student 114","History",3.73
"Student 115","Math",3.08
"Student 116","Biology",2.72
"Student 117","Biology",3.11
"Student 118","Engineering",3.12
"Student 119","History",3.31
"Student 120","Biology",2.94
