"StudentID","OwnsCar"
1,"Yes"
2,"Yes"
3,"Yes"
4,"Yes"
5,"Yes"
6,"Yes"
7,"Yes"
8,"No"
9,"Yes"
10,"Yes"
11,"No"
12,"Yes"
13,"Yes"
14,"No"
15,"Yes"
16,"Yes"
17,"Yes"
18,"Yes"
19,"No"
20,"Yes"
21,"Yes"
22,"Yes"
23,"Yes"
24,"Yes"
25,"No"
26,"Yes"
27,"No"
28,"Yes"
29,"Yes"
30,"Yes"
31,"No"
32,"No"
33,"Yes"
34,"Yes"
35,"No"
36,"Yes"
37,"Yes"
38,"Yes"
39,"Yes"
40,"No"
41,"Yes"
42,"No"
43,"Yes"
44,"No"
45,"Yes"
46,"No"
47,"No"
48,"Yes"
49,"Yes"
50,"No"
51,"No"
52,"Yes"
53,"Yes"
54,"Yes"
55,"No"
56,"Yes"
57,"Yes"
58,"Yes"
59,"Yes"
60,"Yes"
61,"No"
62,"Yes"
63,"Yes"
64,"Yes"
65,"Yes"
66,"Yes"
67,"Yes"
68,"No"
69,"Yes"
70,"Yes"
71,"No"
72,"Yes"
73,"Yes"
74,"Yes"
75,"Yes"
76,"No"
77,"Yes"
78,"Yes"
79,"No"
80,"Yes"
81,"No"
82,"Yes"
83,"No"
84,"Yes"
85,"Yes"
86,"Yes"
87,"No"
88,"No"
89,"Yes"
90,"Yes"
91,"Yes"
92,"Yes"
93,"Yes"
94,"No"
95,"Yes"
96,"No"
97,"No"
98,"Yes"
99,"No"
100,"No"
101,"No"
102,"No"
103,"Yes"
104,"No"
105,"Yes"
106,"Yes"
107,"Yes"
108,"No"
109,"No"
110,"Yes"
111,"Yes"
112,"No"
113,"Yes"
114,"No"
115,"No"
116,"Yes"
117,"Yes"
118,"Yes"
119,"Yes"
120,"No"
121,"Yes"
122,"No"
123,"No"
124,"Yes"
125,"No"
126,"Yes"
127,"No"
128,"No"
129,"No"
130,"No"
131,"Yes"
132,"No"
133,"Yes"
134,"No"
135,"No"
136,"Yes"
137,"Yes"
138,"No"
139,"No"
140,"Yes"
141,"No"
142,"No"
143,"Yes"
144,"No"
145,"Yes"
146,"Yes"
147,"No"
148,"No"
149,"No"
150,"Yes"
151,"Yes"
152,"Yes"
153,"No"
154,"Yes"
155,"Yes"
156,"Yes"
157,"Yes"
158,"No"
159,"No"
160,"No"
161,"No"
162,"Yes"
163,"Yes"
164,"Yes"
165,"Yes"
166,"Yes"
167,"No"
168,"Yes"
169,"Yes"
170,"Yes"
171,"No"
172,"No"
173,"Yes"
174,"Yes"
175,"No"
176,"Yes"
177,"Yes"
178,"No"
179,"Yes"
180,"No"
181,"Yes"
182,"No"
183,"No"
184,"No"
185,"Yes"
186,"Yes"
187,"Yes"
188,"Yes"
189,"Yes"
190,"No"
191,"No"
192,"Yes"
193,"No"
194,"No"
195,"No"
196,"Yes"
197,"Yes"
198,"No"
199,"Yes"
200,"Yes"
