"Hair","Eye"
"Black","Brown"
"Black","Brown"
"Black","Brown"
"Black","Brown"
"Black","Brown"
"Black","Brown"
"Black","Brown"
"Black","Brown"
"Black","Brown"
"Black","Brown"
"Black","Brown"
"Black","Brown"
"Black","Brown"
"Black","Brown"
"Black","Brown"
"Black","Brown"
"Black","Brown"
"Black","Brown"
"Black","Brown"
"Black","Brown"
"Black","Brown"
"Black","Brown"
"Black","Brown"
"Black","Brown"
"Black","Brown"
"Black","Brown"
"Black","Brown"
"Black","Brown"
"Black","Brown"
"Black","Brown"
"Black","Brown"
"Black","Brown"
"Brown","Brown"
"Brown","Brown"
"Brown","Brown"
"Brown","Brown"
"Brown","Brown"
"Brown","Brown"
"Brown","Brown"
"Brown","Brown"
"Brown","Brown"
"Brown","Brown"
"Brown","Brown"
"Brown","Brown"
"Brown","Brown"
"Brown","Brown"
"Brown","Brown"
"Brown","Brown"
"Brown","Brown"
"Brown","Brown"
"Brown","Brown"
"Brown","Brown"
"Brown","Brown"
"Brown","Brown"
"Brown","Brown"
"Brown","Brown"
"Brown","Brown"
"Brown","Brown"
"Brown","Brown"
"Brown","Brown"
"Brown","Brown"
"Brown","Brown"
"Brown","Brown"
"Brown","Brown"
"Brown","Brown"
"Brown","Brown"
"Brown","Brown"
"Brown","Brown"
"Brown","Brown"
"Brown","Brown"
"Brown","Brown"
"Brown","Brown"
"Brown","Brown"
"Brown","Brown"
"Brown","Brown"
"Brown","Brown"
"Brown","Brown"
"Brown","Brown"
"Brown","Brown"
"Brown","Brown"
"Brown","Brown"
"Brown","Brown"
"Brown","Brown"
"Brown","Brown"
"Brown","Brown"
"Red","Brown"
"Red","Brown"
"Red","Brown"
"Red","Brown"
"Red","Brown"
"Red","Brown"
"Red","Brown"
"Red","Brown"
"Red","Brown"
"Red","Brown"
"Blond","Brown"
"Blond","Brown"
"Blond","Brown"
"Black","Blue"
"Black","Blue"
"Black","Blue"
"Black","Blue"
"Black","Blue"
"Black","Blue"
"Black","Blue"
"Black","Blue"
"Black","Blue"
"Black","Blue"
"Black","Blue"
"Brown","Blue"
"Brown","Blue"
"Brown","Blue"
"Brown","Blue"
"Brown","Blue"
"Brown","Blue"
"Brown","Blue"
"Brown","Blue"
"Brown","Blue"
"Brown","Blue"
"Brown","Blue"
