ZCTA5CE20,AFFGEOID20,GEOID20,NAME20,LSAD20,ALAND20,AWATER20,LocationID,no_leisure_pa,mental_distress
01585,860Z200US01585,01585,01585,Z5,72714272,1669625,01585,24.7,16.1
01741,860Z200US01741,01741,01741,Z5,39560501,646536,01741,12.5,10.7
01033,860Z200US01033,01033,01033,Z5,72025733,666977,01033,18.8,15.7
01570,860Z200US01570,01570,01570,Z5,32005106,5800271,01570,25,17.1
01608,860Z200US01608,01608,01608,Z5,1247109,0,01608,30,22.5
02717,860Z200US02717,02717,02717,Z5,57447081,2060683,02717,21.5,15.8
02762,860Z200US02762,02762,02762,Z5,28458092,1350452,02762,19,15.8
01506,860Z200US01506,01506,01506,Z5,40215007,2736395,01506,23.7,16.2
02646,860Z200US02646,02646,02646,Z5,7520248,609368,02646,19.9,12
02141,860Z200US02141,02141,02141,Z5,1576706,26516,02141,14.5,15.8
02351,860Z200US02351,02351,02351,Z5,25806384,594786,02351,19.7,16.6
02726,860Z200US02726,02726,02726,Z5,14313468,3516583,02726,22.1,15.6
02025,860Z200US02025,02025,02025,Z5,25315437,2745298,02025,14.5,12.4
01720,860Z200US01720,01720,01720,Z5,50820885,1103758,01720,14.3,11.9
01056,860Z200US01056,01056,01056,Z5,70436242,2958247,01056,25.6,17.3
01740,860Z200US01740,01740,01740,Z5,51659942,345877,01740,14.2,12.6
01003,860Z200US01003,01003,01003,Z5,2082670,14001,01003,12.4,26.2
02350,860Z200US02350,02350,02350,Z5,295044,432,02350,15.6,17.2
01960,860Z200US01960,01960,01960,Z5,41479554,1408149,01960,20.6,15.4
02129,860Z200US02129,02129,02129,Z5,3505951,1257516,02129,16.6,15.4
01564,860Z200US01564,01564,01564,Z5,79295016,2752995,01564,16,13.1
01375,860Z200US01375,01375,01375,Z5,36466974,1336526,01375,18.6,17.5
02462,860Z200US02462,02462,02462,Z5,1808867,61280,02462,16.6,11.1
01022,860Z200US01022,01022,01022,Z5,12468872,2118,01022,29.1,17.5
01063,860Z200US01063,01063,01063,Z5,228872,0,01063,14.2,29.6
02744,860Z200US02744,02744,02744,Z5,3369419,1345734,02744,34,22.2
02357,860Z200US02357,02357,02357,Z5,1005514,52827,02357,11.4,23
01107,860Z200US01107,01107,01107,Z5,3994637,334988,01107,47,23.5
01128,860Z200US01128,01128,01128,Z5,2872228,1287,01128,25.3,16.9
01520,860Z200US01520,01520,01520,Z5,48755863,1804951,01520,18.8,14.5
02370,860Z200US02370,02370,02370,Z5,25974455,238552,02370,20.7,17
02366,860Z200US02366,02366,02366,Z5,115964,0,02366,17,16.7
01036,860Z200US01036,01036,01036,Z5,50791584,77618,01036,23.1,16.2
01066,860Z200US01066,01066,01066,Z5,3267653,12961,01066,21.6,17.5
01068,860Z200US01068,01068,01068,Z5,56254821,1033076,01068,23.1,16.9
01094,860Z200US01094,01094,01094,Z5,1863981,172820,01094,30.8,15.8
01225,860Z200US01225,01225,01225,Z5,69442567,1833959,01225,23.1,16.2
01235,860Z200US01235,01235,01235,Z5,120852203,2775814,01235,25.5,17.2
01260,860Z200US01260,01260,01260,Z5,6700593,50070,01260,19.3,14.3
01347,860Z200US01347,01347,01347,Z5,925273,216951,01347,20.3,16.7
01366,860Z200US01366,01366,01366,Z5,95665864,1430310,01366,21.9,14.8
01438,860Z200US01438,01438,01438,Z5,841004,48433,01438,23.3,16.4
01525,860Z200US01525,01525,01525,Z5,32991,0,01525,15.9,14.7
01535,860Z200US01535,01535,01535,Z5,55085933,1756793,01535,23.8,17
01543,860Z200US01543,01543,01543,Z5,90974490,2946993,01543,19.1,15.8
01611,860Z200US01611,01611,01611,Z5,8850593,647541,01611,22.7,17.8
01719,860Z200US01719,01719,01719,Z5,26637362,317226,01719,13.2,11.3
01745,860Z200US01745,01745,01745,Z5,1009855,3023,01745,13.7,12.2
01834,860Z200US01834,01834,01834,Z5,22999252,1338979,01834,17.7,15.1
01937,860Z200US01937,01937,01937,Z5,189212,0,01937,22.1,14.7
01985,860Z200US01985,01985,01985,Z5,34828194,3308004,01985,16.7,14.2
02071,860Z200US02071,02071,02071,Z5,2491313,32220,02071,17.3,16.6
02142,860Z200US02142,02142,02142,Z5,812488,369817,02142,13.7,14.9
02343,860Z200US02343,02343,02343,Z5,18157031,279916,02343,20.1,15.8
02493,860Z200US02493,02493,02493,Z5,43564010,1327039,02493,13.3,12
02562,860Z200US02562,02562,02562,Z5,8744445,246880,02562,17,13.1
02637,860Z200US02637,02637,02637,Z5,1999717,77928,02637,17.4,12.3
02763,860Z200US02763,02763,02763,Z5,2323201,20046,02763,18.5,14.1
02791,860Z200US02791,02791,02791,Z5,3374086,3099721,02791,20.2,11.6
02338,860Z200US02338,02338,02338,Z5,41372342,3659389,02338,19.6,15.5
01040,860Z200US01040,01040,01040,Z5,54816657,4226508,01040,36.2,20
01864,860Z200US01864,01864,01864,Z5,34075952,859059,01864,13.7,13.4
01852,860Z200US01852,01852,01852,Z5,12879516,587990,01852,23.2,17.7
01229,860Z200US01229,01229,01229,Z5,6430276,173296,01229,22.1,14
