"interest_rate","income_ver","debt_to_income","credit_util","bankruptcy","term","issued","credit_checks"
14.07,"verified",18.01,0.5476,0,60,"Mar2018",6
12.61,"not",5.04,0.15,1,36,"Feb2018",1
17.09,"source_only",21.15,0.6613,0,36,"Feb2018",4
6.72,"not",10.16,0.1967,0,36,"Jan2018",0
14.07,"verified",57.96,0.7549,0,36,"Mar2018",7
6.72,"not",6.46,0.0926,0,36,"Jan2018",6
13.59,"source_only",23.66,0.0648,0,60,"Jan2018",1
11.99,"source_only",16.19,0.1776,0,60,"Jan2018",1
13.59,"source_only",36.48,0.2456,0,36,"Feb2018",3
6.71,"not",18.91,0.5366,0,36,"Mar2018",0
15.04,"verified",10.45,0.5806,1,60,"Mar2018",4
9.92,"source_only",1.82,0.1242,0,60,"Mar2018",4
13.59,"source_only",12.06,0.1656,0,36,"Feb2018",8
9.43,"source_only",3.67,0.0554,0,60,"Feb2018",6
19.03,"verified",33.98,0.3577,1,36,"Jan2018",0
19.03,"not",38.46,0.5522,0,60,"Feb2018",0
19.03,"not",31.22,0.248,0,60,"Jan2018",4
28.72,"source_only",20.33,0.9327,0,60,"Jan2018",6
26.77,"verified",9.53,0.2289,0,36,"Feb2018",2
15.05,"source_only",18.44,0.0711,0,60,"Jan2018",1
6.08,"not",15.6,0.2578,0,36,"Jan2018",0
11.98,"source_only",32,0.1746,1,36,"Mar2018",4
13.59,"not",26.53,0.267,0,60,"Feb2018",1
6.71,"verified",7.27,0.0324,0,36,"Mar2018",1
7.96,"not",17.31,1.0573,0,36,"Mar2018",1
12.61,"source_only",14.42,0.0874,0,60,"Feb2018",0
11.98,"source_only",13.68,0.6359,0,36,"Mar2018",7
7.34,"not",19.38,0.5224,0,36,"Feb2018",0
5.32,"not",11,0.256,0,36,"Jan2018",0
6.07,"source_only",2.88,0.0169,0,36,"Mar2018",2
12.62,"verified",26.25,0.2605,0,36,"Feb2018",2
9.44,"source_only",24.9,0.6447,0,60,"Feb2018",1
19.03,"verified",36.75,0.2093,0,60,"Feb2018",0
20.39,"source_only",28.3,0.4551,0,60,"Mar2018",0
9.93,"not",13.82,0.1103,0,60,"Jan2018",2
6.08,"source_only",0,0.003,0,36,"Jan2018",0
21.45,"source_only",10.59,0.9175,0,36,"Jan2018",1
15.04,"verified",17.06,0.0824,0,60,"Mar2018",2
10.42,"not",18.53,0.6207,0,36,"Jan2018",2
12.61,"source_only",7.1,0.2463,0,36,"Feb2018",0
18.06,"not",24.79,0.5352,1,60,"Jan2018",0
11.99,"source_only",15.72,0.6601,0,60,"Feb2018",8
15.05,"source_only",14.82,0.588,0,60,"Jan2018",0
15.05,"source_only",25.89,0.7191,0,36,"Feb2018",1
12.62,"source_only",13.51,0.1236,0,60,"Feb2018",2
6.72,"not",10.71,0.1433,1,36,"Jan2018",4
6.71,"not",2.68,0.1076,0,36,"Mar2018",0
15.05,"verified",25.7,0.4615,0,36,"Feb2018",0
9.93,"not",3.64,0.3079,0,60,"Jan2018",0
10.42,"source_only",17.24,0.4947,0,36,"Jan2018",2
22.91,"verified",18.72,0.1752,0,60,"Feb2018",6
30.79,"not",19.64,0.6121,0,60,"Jan2018",1
15.05,"source_only",9.12,0.4605,0,60,"Feb2018",0
6.07,"source_only",22.91,0.2839,0,36,"Mar2018",0
6.07,"not",21.41,0.1866,0,36,"Mar2018",1
17.47,"source_only",13.05,0.0327,0,36,"Mar2018",0
7.34,"verified",20.16,0.0828,0,36,"Mar2018",4
13.59,"verified",39.08,0.3494,1,36,"Feb2018",8
6.72,"not",14.62,0.0655,0,36,"Jan2018",2
5.31,"not",11.64,0.5616,0,36,"Feb2018",1
9.93,"verified",12.15,0.2221,1,36,"Jan2018",8
9.92,"source_only",12.58,0.396,0,36,"Mar2018",0
9.93,"not",16.73,0.836,0,36,"Feb2018",0
14.07,"verified",28.13,0.1962,0,60,"Mar2018",1
7.97,"source_only",7.89,0.4476,0,36,"Feb2018",1
5.31,"not",15.42,0.1164,0,36,"Mar2018",0
9.93,"not",32.4,0.3383,0,60,"Feb2018",1
14.08,"source_only",17.28,0.767,1,60,"Jan2018",2
12.61,"not",32.06,0.1659,0,36,"Mar2018",0
12.62,"source_only",3.7,0.4247,0,36,"Jan2018",1
17.47,"source_only",22.09,0.8064,0,36,"Mar2018",6
12.62,"source_only",16.26,0.3443,0,36,"Jan2018",2
6.71,"source_only",8.72,0.3984,0,36,"Mar2018",0
19.42,"source_only",16.3,0.7653,0,60,"Mar2018",1
12.62,"source_only",16.04,0.3158,0,36,"Feb2018",3
14.08,"not",28.42,0.1307,0,60,"Jan2018",0
10.91,"verified",21.94,0.3132,0,36,"Jan2018",1
17.47,"verified",19.22,0.989,0,36,"Feb2018",3
18.06,"verified",37.74,0.8546,0,36,"Jan2018",1
16.02,"verified",15.44,0.0629,1,36,"Jan2018",2
19.03,"verified",18.39,0.1817,0,36,"Feb2018",3
12.62,"source_only",27.23,0.4158,1,36,"Jan2018",7
6.07,"source_only",11.14,0.6811,0,36,"Feb2018",2
9.43,"source_only",1.56,0.0191,0,60,"Mar2018",3
10.42,"verified",17.44,0.1671,0,60,"Jan2018",1
7.96,"not",11.45,0.1961,1,36,"Mar2018",2
13.59,"not",21.09,0.2543,0,60,"Jan2018",5
15.04,"source_only",34.86,0.663,0,60,"Mar2018",1
12.61,"source_only",13.77,0.4866,0,36,"Mar2018",1
7.96,"source_only",9.61,0.8475,1,36,"Mar2018",3
13.58,"source_only",24.39,0.5495,0,60,"Mar2018",4
16.01,"source_only",5.16,0.061,0,60,"Mar2018",6
22.91,"verified",28.53,0.3902,0,36,"Feb2018",1
7.97,"not",20.74,0.125,0,36,"Jan2018",8
18.06,"not",12.22,0.4149,1,60,"Jan2018",3
6.08,"not",15.84,0.1357,0,36,"Jan2018",0
5.32,"source_only",3.82,0.1417,0,36,"Feb2018",0
5.32,"not",15.48,0.1719,1,36,"Feb2018",2
9.93,"source_only",14.16,0.0798,0,36,"Jan2018",2
20,"verified",49.58,0.6578,1,60,"Feb2018",2
