"StudyHours","ExamScore"
14.6,100
15,94.7
4.6,81.9
13.3,100
10.3,86.9
8.3,81.8
11.8,98.1
2.2,58.6
10.5,56.8
11.3,92.4
7.3,71.9
11.5,92.1
15,100
4.1,78.3
7.4,68.6
15,100
15.7,100
1.9,67
7.6,85.8
9,88.7
14.5,90.3
2.2,56.8
15.8,100
15.1,93.3
1.3,49.1
8.2,84.5
6.2,79.4
14.5,100
7.2,66.3
13.4,85.9
11.8,100
13,98.1
6.2,72.6
11,87.3
0.1,38.4
13.3,100
0.1,48.2
3.3,59.7
14.5,100
9.8,92.5
6.1,85.3
7,69.7
0.6,58.6
15.6,100
6.9,63
15.3,94.9
14.2,88.4
10.2,71.1
15.5,100
9.9,91.2
5.3,80.6
5.5,79.7
6.4,62.4
12.6,100
0.6,45.4
12,93.1
10.8,83.6
2.7,58.2
4.2,66.6
8.2,79.9
10.8,87.5
15.7,100
12.2,87.8
9.1,76.8
13.6,81
3,56.7
4.3,59.9
13.3,100
11.1,75.2
3.8,64.7
0.7,37.5
2.2,43
3.5,63.5
7.7,67
3.2,61.2
11.5,86
0.1,44.2
6,50.8
8.2,66.5
0,51.8
9.3,88.2
2.5,53.8
5.7,70
10.3,97.3
12.4,100
9,70.5
3.7,61.8
1.4,66.9
1.4,50.2
4.9,66.6
10.7,86.6
0,41.1
3.3,57.1
14.9,100
14.8,97.7
11.7,100
5.3,63.7
8.2,74.4
11.9,98.6
9.9,74.1
