"Department","PromotionStatus"
"HR","Promoted"
"Engineering","Not Promoted"
"HR","Not Promoted"
"HR","Not Promoted"
"Sales","In Review"
"HR","Not Promoted"
"Sales","Not Promoted"
"Engineering","Not Promoted"
"Marketing","Not Promoted"
"Engineering","In Review"
"Marketing","Not Promoted"
"Marketing","In Review"
"HR","Not Promoted"
"Sales","Not Promoted"
"Sales","In Review"
"HR","Not Promoted"
"Engineering","Not Promoted"
"Marketing","In Review"
"Engineering","Not Promoted"
"Engineering","Not Promoted"
"Engineering","Not Promoted"
"Engineering","Not Promoted"
"HR","In Review"
"HR","Not Promoted"
"HR","Not Promoted"
"Engineering","In Review"
"Sales","Not Promoted"
"HR","Promoted"
"Engineering","Not Promoted"
"Engineering","Not Promoted"
"Sales","Not Promoted"
"Engineering","Not Promoted"
"Engineering","Promoted"
"Marketing","Not Promoted"
"HR","Not Promoted"
"HR","Promoted"
"Engineering","Not Promoted"
"Marketing","Not Promoted"
"Engineering","In Review"
"Sales","Promoted"
"Marketing","Not Promoted"
"Marketing","Not Promoted"
"Sales","Not Promoted"
"Engineering","Not Promoted"
"Marketing","Not Promoted"
"Sales","Not Promoted"
"Sales","Not Promoted"
"Engineering","In Review"
"HR","Not Promoted"
"HR","Not Promoted"
"Engineering","Not Promoted"
"HR","Not Promoted"
"Sales","Not Promoted"
"Sales","Not Promoted"
"HR","Not Promoted"
"HR","Not Promoted"
"Engineering","Not Promoted"
"Engineering","Not Promoted"
"Sales","Not Promoted"
"Engineering","Not Promoted"
"Engineering","Not Promoted"
"Sales","Not Promoted"
"Engineering","Not Promoted"
"Sales","Not Promoted"
"Engineering","Not Promoted"
"HR","Not Promoted"
"Marketing","Not Promoted"
"HR","Not Promoted"
"Engineering","Promoted"
"Engineering","Promoted"
"HR","Not Promoted"
"Engineering","Not Promoted"
"Sales","Not Promoted"
"Sales","Not Promoted"
"Engineering","Not Promoted"
"HR","Not Promoted"
"Engineering","Not Promoted"
"Engineering","Not Promoted"
"HR","Not Promoted"
"Engineering","Promoted"
"Engineering","Not Promoted"
"Engineering","Not Promoted"
"Sales","Not Promoted"
"Engineering","Not Promoted"
"HR","Not Promoted"
"Sales","Not Promoted"
"Marketing","Promoted"
"Engineering","Promoted"
"Engineering","In Review"
"Marketing","Not Promoted"
"Sales","Not Promoted"
"Marketing","In Review"
"Sales","Promoted"
"Engineering","Not Promoted"
"HR","Not Promoted"
"Engineering","Not Promoted"
"HR","In Review"
"Sales","Not Promoted"
"Marketing","In Review"
"Sales","Not Promoted"
"Engineering","Not Promoted"
"HR","Not Promoted"
"Engineering","Not Promoted"
"Sales","Not Promoted"
"Engineering","Promoted"
"HR","Not Promoted"
"Engineering","In Review"
"Engineering","Not Promoted"
"Engineering","Not Promoted"
"HR","In Review"
"Engineering","Not Promoted"
"Sales","Not Promoted"
"HR","Not Promoted"
"Engineering","Not Promoted"
"Sales","Not Promoted"
"Marketing","Not Promoted"
"HR","Not Promoted"
"Engineering","Promoted"
"Sales","Not Promoted"
"Engineering","Not Promoted"
"Marketing","Promoted"
"Engineering","Not Promoted"
"HR","Not Promoted"
"Engineering","Promoted"
"HR","Not Promoted"
"Engineering","Not Promoted"
"Sales","Promoted"
"HR","Promoted"
"Marketing","Not Promoted"
"Marketing","Not Promoted"
"Sales","Not Promoted"
"Engineering","Promoted"
"Engineering","Not Promoted"
"Sales","Not Promoted"
"HR","Not Promoted"
"HR","Not Promoted"
"HR","In Review"
"Engineering","Promoted"
"Engineering","Promoted"
"Sales","Promoted"
"Marketing","Not Promoted"
"Engineering","Not Promoted"
"Engineering","In Review"
"Sales","Promoted"
"Sales","Not Promoted"
"Marketing","Not Promoted"
"Sales","Not Promoted"
"Engineering","Not Promoted"
"Sales","Not Promoted"
"Engineering","Not Promoted"
"Engineering","In Review"
"Sales","Not Promoted"
"Marketing","In Review"
"Engineering","Not Promoted"
"HR","Not Promoted"
"Sales","Not Promoted"
"Engineering","Not Promoted"
"Engineering","In Review"
"Sales","Not Promoted"
"Engineering","Not Promoted"
"Engineering","Not Promoted"
"HR","Not Promoted"
"HR","Not Promoted"
"Engineering","Not Promoted"
"HR","Not Promoted"
"HR","In Review"
"Engineering","Not Promoted"
"Sales","Not Promoted"
"Sales","Not Promoted"
"Engineering","Not Promoted"
"Marketing","Not Promoted"
"HR","Promoted"
"Sales","In Review"
"HR","Not Promoted"
"Engineering","Not Promoted"
"Sales","Not Promoted"
"Sales","Not Promoted"
"Engineering","Not Promoted"
"HR","Not Promoted"
"Sales","Not Promoted"
"Engineering","Not Promoted"
"Marketing","Not Promoted"
"Engineering","Not Promoted"
"HR","Not Promoted"
"Engineering","Not Promoted"
"Marketing","Not Promoted"
"HR","In Review"
"HR","Not Promoted"
"HR","Promoted"
"Engineering","Not Promoted"
"Engineering","Not Promoted"
"Engineering","Not Promoted"
"Engineering","In Review"
"Engineering","Not Promoted"
"Engineering","Not Promoted"
"Engineering","In Review"
"Sales","Promoted"
"Sales","In Review"
"Marketing","Not Promoted"
"Marketing","Not Promoted"
